Rk,Team ID,Team,Year,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,Restricted Area FGM, Restricted Area FGA,Restricted Area FG%,In the Paint (Non-RA) FGM,In the Paint (Non-RA) FGA,In the Paint (Non-RA) FG%,Mid-Range FGM,Mid-Range FGA,Mid-Range FG%,Left Corner 3 FGM,Left Corner 3 FGA,Left Corner 3 FG%,Right Corner 3 FGM,Right Corner 3 FGA,Right Corner 3 FG%,Above the Break 3 FGM,Above the Break 3 FGA,Above the Break 3 FG%,Backcourt FGA,Backcourt FGA,Backcourt FG%,1-4ft FGM,1-4ft FGA,1-4ft FG%,5-9ft FGM,5-9ft FGA,5-9ft FG%,10-14ft FGM,10-14ft FGA,10-14ft FG%,15-19ft FGM,15-19ft FGA,15-19ft FG%,20-24ft FGM,20-24ft FGA,20-24ft FG%,25-29ft FGM,25-29ft FGA,25-29ft FG%,30-34ft FGM,30-34ft FGA,30-34ft FG%,35-39ft FGM,35-39ft FGA,35-39ft FG%,41ft FGM,41ft FGA,41ft FG%
11,1610612745,Houston Rockets*,18,65,17,61,21,8.48,-0.27,8.21,114.7,106.1,8.6,97.6,0.298,0.502,0.59,0.551,12.7,21.3,0.233,17.3,26.9,0.643,3.1,8.1,0.376,3,6.9,0.444,1.9,4.7,0.405,2,5.3,0.388,11.3,32.1,0.353,0,0.2,0.059,17.7,28.2,0.628,1.7,4.8,0.356,1.8,4.2,0.436,1.8,3.6,0.485,6.4,15.9,0.4,9.1,26.3,0.346,0.2,1.1,0.219,0,0.1,0,0,0.2,0.05
12,1610612754,Indiana Pacers*,18,48,34,45,37,1.38,-0.2,1.18,109.5,108.1,1.4,96,0.222,0.284,0.557,0.525,12.3,22.7,0.173,17.2,27.6,0.622,5.2,12.2,0.426,9.4,22.1,0.426,1.1,3,0.376,1.3,2.7,0.481,6.6,18.6,0.356,0,0.3,0,17.9,29.5,0.608,3.2,7.6,0.414,2.9,6.4,0.458,5.9,14,0.42,5,12.1,0.413,5.9,16.3,0.362,0.1,0.3,0.182,0,0.1,0,0,0.3,0
13,1610612746,Los Angeles Clippers,18,42,40,41,41,0.04,0.11,0.15,110.3,110.2,0.1,98.7,0.299,0.314,0.564,0.527,13.2,23.5,0.222,20.7,32.9,0.63,5.4,13.7,0.392,4.7,12,0.389,1.2,3.5,0.334,0.9,2.7,0.352,7.4,20.5,0.36,0,0.2,0.067,21.6,35.2,0.614,3.2,8.5,0.376,2.5,5.8,0.431,2.6,6.6,0.389,4.6,12.8,0.36,5.7,16,0.356,0,0.3,0.15,0,0,0,0,0.2,0.118
14,1610612747,Los Angeles Lakers,18,35,47,37,45,-1.55,0.11,-1.44,106.5,108,-1.5,100.3,0.264,0.329,0.548,0.517,13.8,23.6,0.188,20.7,32.4,0.638,5.3,14,0.377,4.8,13,0.368,1,2.7,0.383,1,2.4,0.404,8,23.8,0.337,0,0.2,0,21.6,34.7,0.622,3.2,8.5,0.375,2.1,6.1,0.345,3,7.6,0.393,4.2,11.5,0.364,6.7,19.5,0.341,0,0.3,0.15,0,0,0,0,0.3,0
15,1610612763,Memphis Grizzlies,18,22,60,25,57,-6.21,0.39,-5.81,104.5,111,-6.5,94.9,0.255,0.317,0.539,0.5,14,22.4,0.201,16.9,28.3,0.597,4.3,12.1,0.353,6.4,16.2,0.393,1,2.8,0.343,0.9,2.4,0.36,7.4,20.7,0.357,0,0.3,0,17.4,29.9,0.583,2.6,7.5,0.354,2.6,6.9,0.382,3,7.8,0.385,4.9,13.3,0.366,6.1,16.9,0.363,0.1,0.2,0.308,0,0.1,0,0,0.4,0.031
16,1610612748,Miami Heat*,18,44,38,42,40,0.48,-0.33,0.15,106.8,106.3,0.5,95.6,0.229,0.358,0.551,0.52,13.3,21.5,0.173,17.4,27.3,0.635,5.1,13,0.392,5.4,14.4,0.371,1.3,3.7,0.363,1.8,4.5,0.404,7.9,22.2,0.355,0,0.2,0,18.3,29.7,0.615,3.2,8.1,0.395,2.6,6.8,0.384,2.8,7.5,0.378,5.7,15.2,0.374,6.2,17.5,0.354,0,0.3,0.111,0,0.1,0,0,0.2,0
17,1610612749,Milwaukee Bucks*,18,44,38,40,42,-0.3,-0.15,-0.45,109.8,110.1,-0.3,96.2,0.281,0.297,0.571,0.531,12.9,20.4,0.22,18.6,28.8,0.645,5.1,12.3,0.414,7.3,17.3,0.423,1.2,3,0.393,1.5,3.7,0.417,6,17.8,0.338,0,0.1,0,19.1,30.5,0.627,3.2,7.8,0.406,3.4,7.5,0.455,4.1,9.7,0.429,4.5,11.7,0.382,5.4,15.5,0.349,0,0.2,0,0,0.1,0,0,0.2,0
18,1610612750,Minnesota Timberwolves*,18,47,35,47,35,2.23,0.12,2.35,113.4,111.1,2.3,96,0.28,0.261,0.566,0.523,11.4,24.4,0.225,17,25.7,0.659,7.7,17.1,0.448,8.4,20.9,0.403,1.3,3.4,0.384,0.8,2,0.418,5.9,16.9,0.347,0,0.1,0,18,28.1,0.64,5.1,11.6,0.436,4.1,9.2,0.443,4.1,10.5,0.391,5.5,13.7,0.402,4.2,12.2,0.342,0.1,0.6,0.174,0,0.1,0.333,0,0.2,0
19,1610612740,New Orleans Pelicans*,18,48,34,44,38,1.3,0.18,1.48,109.6,108.3,1.3,100.5,0.237,0.319,0.573,0.541,13.3,20,0.183,19.2,29.5,0.65,7,15.2,0.461,6.3,15.5,0.407,1.5,3.7,0.393,1.4,3.4,0.402,7.4,21,0.353,0,0.2,0,20.1,31.6,0.637,4.7,10.2,0.462,3.2,7.3,0.44,3.1,7.6,0.407,5.8,14.9,0.392,5.6,16.3,0.347,0.1,0.2,0.267,0,0.1,0,0,0.2,0.063
20,1610612752,New York Knicks,18,29,53,32,50,-3.56,0.03,-3.53,107.1,110.7,-3.6,96.8,0.216,0.266,0.544,0.51,13.3,24.1,0.17,16.9,27,0.626,6.5,14.9,0.436,9.1,22.5,0.403,1.3,2.9,0.431,0.7,1.9,0.368,6.3,18.3,0.342,0,0.2,0,17.6,28.9,0.609,3.9,9.3,0.417,4.4,9.9,0.444,4.4,11.1,0.397,5.2,12.7,0.405,5.2,15.2,0.343,0,0.3,0.1,0,0,0,0,0.3,0
